country,year,renewables_share_energy,co2
China,2000,5.335687637329102,3643.81
China,2001,6.251406669616699,3724.114
China,2002,5.921866893768311,4098.181
China,2003,5.001338958740234,4835.251
China,2004,5.289434909820557,5210.961
China,2005,5.238741397857666,5881.991
China,2006,5.266756057739258,6486.185
China,2007,5.406529426574707,6974.663
China,2008,6.8724212646484375,7492.404
China,2009,6.559854984283447,7881.491
China,2010,7.194703578948975,8610.048
China,2011,6.6967644691467285,9520.153
China,2012,8.067560195922852,9767.311
China,2013,8.473828315734863,9942.371
China,2014,9.689675331115724,9976.027
China,2015,10.277580261230469,9858.04
China,2016,11.113144874572754,9748.175
China,2017,11.66563892364502,10000.014
China,2018,12.224382400512695,10346.79
China,2019,12.785955429077148,10713.515
China,2020,13.395745277404783,10896.521
China,2021,14.195034980773926,11284.401
China,2022,15.217976570129396,11711.808
China,2023,15.505326271057127,12172.009
France,2000,6.409308433532715,407.445
France,2001,7.072253704071045,411.592
France,2002,5.879392623901367,407.027
France,2003,5.674737930297852,412.989
France,2004,5.683584690093994,414.073
France,2005,5.121811866760254,416.343
France,2006,5.702458381652832,406.669
France,2007,6.355920314788818,396.461
France,2008,7.31891918182373,389.794
France,2009,7.408987522125244,371.404
France,2010,7.881732940673828,377.079
France,2011,6.929938316345215,355.127
France,2012,8.714423179626465,358.1
France,2013,9.85744571685791,360.013
France,2014,9.884686470031738,327.809
France,2015,9.568416595458984,332.131
France,2016,10.36199188232422,335.496
France,2017,9.80320167541504,338.368
France,2018,11.513116836547852,323.102
France,2019,11.75388526916504,316.321
France,2020,13.971604347229004,281.515
France,2021,12.914198875427246,307.272
France,2022,13.725915908813477,295.304
France,2023,15.866663932800291,270.263
Germany,2000,2.7381491661071777,898.976
Germany,2001,2.7976856231689453,915.255
Germany,2002,3.3654510974884038,898.834
Germany,2003,3.4766616821289062,894.501
Germany,2004,4.315670967102051,876.57
Germany,2005,4.992346286773682,867.88
Germany,2006,5.797013759613037,886.434
Germany,2007,7.369626045227051,846.153
Germany,2008,7.522728443145752,856.643
Germany,2009,8.146815299987793,789.984
Germany,2010,8.465435981750488,826.705
Germany,2011,10.167926788330078,804.542
Germany,2012,11.459871292114258,814.093
Germany,2013,11.60320281982422,831.746
Germany,2014,12.839898109436035,792.584
Germany,2015,14.318381309509276,800.823
Germany,2016,14.101187705993652,797.988
Germany,2017,15.387794494628906,784.595
Germany,2018,16.262758255004883,758.771
Germany,2019,17.811208724975586,708.649
Germany,2020,20.017168045043945,647.177
Germany,2021,18.08249855041504,677.998
Germany,2022,20.32915496826172,667.843
Germany,2023,23.602962493896484,593.766
India,2000,6.04160213470459,987.065
India,2001,5.693082809448242,1001.198
India,2002,5.217525482177734,1032.75
India,2003,5.143730163574219,1068.398
India,2004,6.886624336242676,1134.611
India,2005,6.359037399291992,1195.393
India,2006,7.133749961853027,1293.321
India,2007,7.276436805725098,1393.485
India,2008,6.712008953094482,1490.366
India,2009,5.964695453643799,1613.328
India,2010,6.056765079498291,1678.53
India,2011,6.967135429382324,1765.695
India,2012,6.208459854125977,1926.986
India,2013,6.749992370605469,1995.337
India,2014,6.828800201416016,2148.052
India,2015,6.356804370880127,2231.817
India,2016,6.369764804840088,2352.54
India,2017,6.79276704788208,2425.722
India,2018,7.3073811531066895,2595.227
India,2019,8.108067512512207,2611.175
India,2020,8.892712593078613,2422.732
India,2021,8.656782150268555,2675.778
India,2022,9.421208381652832,2831.132
India,2023,8.86095142364502,3062.756
Italy,2000,6.852819919586182,469.598
Italy,2001,7.294962882995605,469.679
Italy,2002,6.452591419219971,477.136
Italy,2003,6.059579372406006,495.094
Italy,2004,6.893043041229248,500.687
Italy,2005,6.1606035232543945,501.365
Italy,2006,6.427093982696533,496.075
Italy,2007,6.172990322113037,489.794
Italy,2008,7.802824020385742,478.132
Italy,2009,10.12662410736084,424.032
Italy,2010,10.920738220214844,435.672
Italy,2011,11.912408828735352,423.897
Italy,2012,13.499079704284668,403.444
Italy,2013,16.95980453491211,369.461
Italy,2014,18.516735076904297,349.389
Italy,2015,16.65993309020996,361.244
Italy,2016,16.41188621520996,358.133
Italy,2017,15.674721717834473,352.666
Italy,2018,17.059223175048828,349.048
Italy,2019,17.412242889404297,339.638
Italy,2020,19.3994140625,302.6
Italy,2021,18.013944625854492,335.93
Italy,2022,15.951094627380373,340.115
Italy,2023,18.85383033752441,312.291
Spain,2000,6.598010063171387,309.26
Spain,2001,8.709261894226074,311.031
Spain,2002,6.0164313316345215,331.028
Spain,2003,9.206891059875488,335.539
Spain,2004,8.0197114944458,352.139
Spain,2005,6.4418535232543945,367.447
Spain,2006,7.933479309082031,358.869
Spain,2007,8.869269371032715,366.469
Spain,2008,9.972074508666992,335.284
Spain,2009,12.912885665893556,296.159
Spain,2010,16.490276336669922,282.585
Spain,2011,15.328784942626951,283.275
Spain,2012,15.91716194152832,277.432
Spain,2013,19.29036521911621,252.109
Spain,2014,19.44547271728516,253.658
Spain,2015,16.977323532104492,270.248
Spain,2016,18.11742401123047,259.555
Spain,2017,15.319087028503418,273.484
Spain,2018,17.922855377197266,268.521
Spain,2019,17.063373565673828,250.674
Spain,2020,21.929208755493164,211.765
Spain,2021,22.27165031433105,228.806
Spain,2022,20.876808166503903,234.223
Spain,2023,24.8220272064209,215.461
United States,2000,3.855929374694824,6023.158
United States,2001,3.28743314743042,5903.562
United States,2002,3.850827693939209,5947.819
United States,2003,4.012036323547363,6006.44
United States,2004,3.944401502609253,6111.545
United States,2005,4.055190563201904,6126.903
United States,2006,4.501955986022949,6045.326
United States,2007,4.222331523895264,6121.542
United States,2008,4.832541465759277,5919.221
United States,2009,5.601161003112793,5486.104
United States,2010,5.641783714294434,5669.25
United States,2011,6.652554035186768,5538.973
United States,2012,6.652078628540039,5331.467
United States,2013,6.8875813484191895,5473.436
United States,2014,7.0149126052856445,5531.385
United States,2015,7.219233989715576,5368.497
United States,2016,7.99330997467041,5245.362
United States,2017,8.75450325012207,5195.417
United States,2018,8.639647483825684,5361.236
United States,2019,8.966625213623047,5235.912
United States,2020,10.12306022644043,4689.954
United States,2021,10.115880966186523,5020.111
United States,2022,10.874505996704102,5055.403
United States,2023,11.212398529052734,4918.407
